dataset,n,orig_time_ms,prun_time_ms,speedup,pruning_ratio
teams12-allgames,12,0.251,0.026,9.729,0.938
teams60,60,227.211,37.250,6.100,0.851
teams54,54,205.736,39.853,5.162,0.826
teams48,48,132.466,27.779,4.769,0.828
teams4a,4,0.089,0.021,4.201,0.500
teams42,42,73.366,20.036,3.662,0.794
teams5c,5,0.119,0.041,2.921,0.545
teams8,8,0.407,0.150,2.712,0.707
teams12,12,1.789,0.733,2.439,0.556
teams36,36,53.880,23.077,2.335,0.632
teams32,32,28.425,13.445,2.114,0.622
teams29,29,25.033,12.270,2.040,0.601
teams30,30,28.303,14.058,2.013,0.575
teams24,24,9.194,4.612,1.994,0.608
teams10,10,0.863,0.616,1.401,0.365
teams5b,5,0.084,0.061,1.376,0.273
teams4b,4,0.009,0.007,1.298,0.500
teams4,4,0.033,0.028,1.212,0.250
teams7,7,0.263,0.233,1.128,0.324
teams5,5,0.090,0.142,0.630,0.082
