dataset,team,algorithm,eliminated,elimination_type,certificate,max_wins,total_game_capacity,maxflow,full_flow,game_nodes,team_nodes,flow_nodes,flow_edges,runtime_ms
teams1.txt,Turing,dinic,False,none,,100,0,0,True,0,0,2,0,0.004792
teams4.txt,Atlanta,dinic,False,none,,91,2,2,True,1,3,6,6,0.007375
teams4.txt,Philadelphia,dinic,True,nontrivial,"Atlanta,New_York",83,7,6,False,2,3,7,9,0.012000
teams4.txt,New_York,dinic,False,none,,84,4,4,True,3,3,8,12,0.009292
teams4.txt,Montreal,dinic,True,trivial,Atlanta,80,0,0,,0,3,0,0,0.000500
teams4a.txt,CIA,dinic,False,none,,6,1,1,True,1,3,6,6,0.009292
teams4a.txt,Ghaddafi,dinic,True,nontrivial,"CIA,Obama",4,2,1,False,1,3,6,6,0.009875
teams4a.txt,Bin_Ladin,dinic,True,trivial,Obama,3,0,0,,0,3,0,0,0.000292
teams4a.txt,Obama,dinic,False,none,,7,1,1,True,1,3,6,6,0.005917
teams4b.txt,Gryffindor,dinic,False,none,,12,2,2,True,1,3,6,6,0.005916
teams4b.txt,Hufflepuff,dinic,True,trivial,Gryffindor,9,0,0,,0,3,0,0,0.000291
teams4b.txt,Ravenclaw,dinic,True,trivial,Gryffindor,9,0,0,,0,3,0,0,0.000208
teams4b.txt,Slytherin,dinic,True,trivial,Gryffindor,9,0,0,,0,3,0,0,0.000250
teams5.txt,New_York,dinic,False,none,,103,22,22,True,5,4,11,19,0.014875
teams5.txt,Baltimore,dinic,False,none,,99,24,24,True,5,4,11,19,0.020833
teams5.txt,Boston,dinic,False,none,,96,30,30,True,6,4,12,22,0.025000
teams5.txt,Toronto,dinic,False,none,,90,26,26,True,6,4,12,22,0.015666
teams5.txt,Detroit,dinic,True,nontrivial,"New_York,Baltimore,Boston,Toronto",76,27,26,False,5,4,11,19,0.020750
teams5a.txt,New_York,dinic,False,none,,103,41,41,True,6,4,12,22,0.014875
teams5a.txt,Baltimore,dinic,False,none,,99,41,41,True,6,4,12,22,0.170000
teams5a.txt,Boston,dinic,False,none,,96,42,42,True,6,4,12,22,0.013500
teams5a.txt,Toronto,dinic,False,none,,90,42,42,True,6,4,12,22,0.018583
teams5a.txt,Detroit,dinic,True,nontrivial,"New_York,Baltimore,Boston,Toronto",77,41,30,False,6,4,12,22,0.020208
teams5b.txt,New_York,dinic,False,none,,96,13,13,True,3,4,9,13,0.009500
teams5b.txt,Baltimore,dinic,False,none,,87,18,18,True,3,4,9,13,0.009292
teams5b.txt,Boston,dinic,False,none,,79,24,24,True,5,4,11,19,0.013500
teams5b.txt,Toronto,dinic,False,none,,77,20,20,True,5,4,11,19,0.016167
teams5b.txt,Detroit,dinic,True,trivial,"New_York,Baltimore,Boston,Toronto",56,0,0,,0,4,0,0,0.000541
